강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 전국
기간 : 20200101~20240731

날짜,지점,강수량(mm)
2021-05-16,전국,44.2
2021-05-17,전국,4.5
2021-05-18,전국,0.2
2021-05-19,전국,0
2021-05-20,전국,11.1
2021-05-21,전국,3.1
2021-05-22,전국,0
2021-05-23,전국,0
2021-05-24,전국,0.3
2021-05-25,전국,2.7
2021-05-26,전국,0.2
2021-05-27,전국,2.7
2021-05-28,전국,15.3
2021-05-29,전국,0.4
2021-05-30,전국,3.5
2021-05-31,전국,5.6
2021-06-01,전국,0.3
2021-06-02,전국,0
2021-06-03,전국,19.9
2021-06-04,전국,1.3
2021-06-05,전국,0
2021-06-06,전국,0.1
2021-06-07,전국,0
2021-06-08,전국,0.1
2021-06-09,전국,0
2021-06-10,전국,4.6
2021-06-11,전국,22.9
2021-06-12,전국,3.1
2021-06-13,전국,0.1
2021-06-14,전국,0
2021-06-15,전국,9.1
2021-06-16,전국,2.8
2021-06-17,전국,0.7
2021-06-18,전국,3.3
2021-06-19,전국,0
2021-06-20,전국,0
2021-06-21,전국,0.4
2021-06-22,전국,5.3
2021-06-23,전국,2.7
2021-06-24,전국,0.2
2021-06-25,전국,2.4
2021-06-26,전국,4.3
2021-06-27,전국,1
2021-06-28,전국,2.8
2021-06-29,전국,2.9
2021-06-30,전국,1.6
2021-07-01,전국,0.4
2021-07-02,전국,0.3
2021-07-03,전국,41.4
2021-07-04,전국,19.4
2021-07-05,전국,26
2021-07-06,전국,51.6
2021-07-07,전국,33.7
2021-07-08,전국,23.2
2021-07-09,전국,6.8
2021-07-10,전국,6.5
2021-07-11,전국,2.5
2021-07-12,전국,0.4
2021-07-13,전국,0
2021-07-14,전국,0
2021-07-15,전국,2.7
2021-07-16,전국,4.4
2021-07-17,전국,2.1
2021-07-18,전국,2.8
2021-07-19,전국,3.9
2021-07-20,전국,0.2
2021-07-21,전국,0
2021-07-22,전국,0
2021-07-23,전국,0
2021-07-24,전국,0
2021-07-25,전국,0
2021-07-26,전국,0.1
2021-07-27,전국,0.2
2021-07-28,전국,0.5
2021-07-29,전국,0
2021-07-30,전국,0.8
2021-07-31,전국,3.8
2021-08-01,전국,18.4
2021-08-02,전국,10.7
2021-08-03,전국,8.1
2021-08-04,전국,0.1
2021-08-05,전국,0.1
2021-08-06,전국,3.1
2021-08-07,전국,3.6
2021-08-08,전국,9.1
2021-08-09,전국,4.3
2021-08-10,전국,7.1
2021-08-11,전국,0.8
2021-08-12,전국,0.6
2021-08-13,전국,0.9
2021-08-14,전국,10.2
2021-08-15,전국,1.1
2021-08-16,전국,0.9
2021-08-17,전국,5.3
2021-08-18,전국,7.4
2021-08-19,전국,3.5
2021-08-20,전국,0.5
2021-08-21,전국,46.9
2021-08-22,전국,0.2
2021-08-23,전국,44.5
2021-08-24,전국,38.3
2021-08-25,전국,21.9
2021-08-26,전국,0.4
2021-08-27,전국,14.8
2021-08-28,전국,0.3
2021-08-29,전국,11.5
2021-08-30,전국,0.4
2021-08-31,전국,14.5
2021-09-01,전국,38.5
2021-09-02,전국,1.8
2021-09-03,전국,1.1
2021-09-04,전국,0.1
2021-09-05,전국,1.1
2021-09-06,전국,9.7
2021-09-07,전국,11.4
2021-09-08,전국,0.6
2021-09-09,전국,0
2021-09-10,전국,0.5
2021-09-11,전국,0
2021-09-12,전국,0
2021-09-13,전국,0.2
2021-09-14,전국,3
2021-09-15,전국,0.1
2021-09-16,전국,0.9
2021-09-17,전국,15.7
2021-09-18,전국,0.2
2021-09-19,전국,0
2021-09-20,전국,0.1
2021-09-21,전국,25.8
2021-09-22,전국,5.4
2021-09-23,전국,0
2021-09-24,전국,0.6
2021-09-25,전국,1.2
2021-09-26,전국,0.1
2021-09-27,전국,0.1
2021-09-28,전국,0.7
2021-09-29,전국,22.6
2021-09-30,전국,4.4
2021-10-01,전국,1.1
2021-10-02,전국,0.7
2021-10-03,전국,0
2021-10-04,전국,2.5
2021-10-05,전국,1.5
2021-10-06,전국,3.7
2021-10-07,전국,1.5
2021-10-08,전국,1.7
2021-10-09,전국,4.4
2021-10-10,전국,5
2021-10-11,전국,11.6
2021-10-12,전국,3.8
2021-10-13,전국,0.1
2021-10-14,전국,0
2021-10-15,전국,6.3
2021-10-16,전국,6.1
2021-10-17,전국,0
2021-10-18,전국,0.3
2021-10-19,전국,2.5
2021-10-20,전국,0
2021-10-21,전국,0.3
2021-10-22,전국,0.4
2021-10-23,전국,0
2021-10-24,전국,0
2021-10-25,전국,0
2021-10-26,전국,0
2021-10-27,전국,0.2
2021-10-28,전국,0
2021-10-29,전국,0
2021-10-30,전국,0.1
2021-10-31,전국,0.1
2021-11-01,전국,0
2021-11-02,전국,0.3
2021-11-03,전국,0.1
2021-11-04,전국,0.4
2021-11-05,전국,0
2021-11-06,전국,0
2021-11-07,전국,0.1
2021-11-08,전국,22.5
2021-11-09,전국,2.5
2021-11-10,전국,3.2
2021-11-11,전국,1.2
2021-11-12,전국,0.6
2021-11-13,전국,0
2021-11-14,전국,0
2021-11-15,전국,0
2021-11-16,전국,0
2021-11-17,전국,0
2021-11-18,전국,0
2021-11-19,전국,0
2021-11-20,전국,0
2021-11-21,전국,0.6
2021-11-22,전국,2.4
2021-11-23,전국,1.1
2021-11-24,전국,0.2
2021-11-25,전국,0
2021-11-26,전국,0
2021-11-27,전국,0
2021-11-28,전국,0
2021-11-29,전국,0
2021-11-30,전국,22.9
2021-12-01,전국,0.4
2021-12-02,전국,0.1
2021-12-03,전국,0.6
2021-12-04,전국,0
2021-12-05,전국,0
2021-12-06,전국,0
2021-12-07,전국,0.5
2021-12-08,전국,0
2021-12-09,전국,0
2021-12-10,전국,0.4
2021-12-11,전국,0
2021-12-12,전국,0
2021-12-13,전국,0
2021-12-14,전국,0.2
2021-12-15,전국,0.6
2021-12-16,전국,0.6
2021-12-17,전국,0.4
2021-12-18,전국,0.5
2021-12-19,전국,0.5
2021-12-20,전국,0
2021-12-21,전국,0
2021-12-22,전국,0
2021-12-23,전국,0
2021-12-24,전국,0.9
2021-12-25,전국,0.7
2021-12-26,전국,0.2
2021-12-27,전국,0.1
2021-12-28,전국,0
2021-12-29,전국,0.1
2021-12-30,전국,0.4
2021-12-31,전국,0
2022-01-01,전국,0
2022-01-02,전국,0.1
2022-01-03,전국,0
2022-01-04,전국,0
2022-01-05,전국,0.2
2022-01-06,전국,0
2022-01-07,전국,0
2022-01-08,전국,0
2022-01-09,전국,0
2022-01-10,전국,0.1
2022-01-11,전국,0.2
2022-01-12,전국,0
2022-01-13,전국,0.1
2022-01-14,전국,0
2022-01-15,전국,0
2022-01-16,전국,0.1
2022-01-17,전국,0.2
2022-01-18,전국,0
2022-01-19,전국,0.4
2022-01-20,전국,0.1
2022-01-21,전국,0
2022-01-22,전국,0
2022-01-23,전국,0.1
2022-01-24,전국,0.2
2022-01-25,전국,0.4
2022-01-26,전국,0
2022-01-27,전국,0
2022-01-28,전국,0
2022-01-29,전국,0
2022-01-30,전국,0
2022-01-31,전국,0.4
2022-02-01,전국,0.5
2022-02-02,전국,0
2022-02-03,전국,0
2022-02-04,전국,0.2
2022-02-05,전국,0.2
2022-02-06,전국,0
2022-02-07,전국,0
2022-02-08,전국,0
2022-02-09,전국,0
2022-02-10,전국,0
2022-02-11,전국,0
2022-02-12,전국,0
2022-02-13,전국,0.3
2022-02-14,전국,0.4
2022-02-15,전국,0.1
