날짜,한화
2023-12-13,90206.7504
2023-12-12,94054.02390000001
2023-12-11,93640.515
2023-12-08,91670.9184
2023-12-07,91133.6832
2023-12-06,94717.049
2023-12-05,96072.111
2023-12-04,96502.791
2023-12-01,98335.7869
2023-11-30,100348.815
2023-11-29,98636.076
2023-11-28,97471.6387
2023-11-27,98049.8545
2023-11-24,99920.68380000001
2023-11-23,99756.8182
2023-11-22,100792.25309999999
2023-11-21,100052.8015
2023-11-20,98023.4875
2023-11-17,94338.5348
2023-11-16,99971.42599999998
2023-11-15,102019.667
2023-11-14,103617.9791
2023-11-13,101691.415
2023-11-10,99648.02930000001
2023-11-09,99034.1715
2023-11-08,100637.744
2023-11-07,105153.15830000001
2023-11-06,106113.9835
2023-11-03,110188.9714
2023-11-02,109011.63239999999
2023-11-01,110254.66200000001
2023-10-31,111206.6091
2023-10-30,115349.25
2023-10-27,113063.7021
2023-10-26,115497.07300000002
2023-10-25,112507.81459999998
2023-10-24,115758.8935
2023-10-23,118829.92
2023-10-20,122519.8908
2023-10-19,119607.55519999999
2023-10-18,118855.2255
2023-10-17,117378.645
2023-10-16,118692.1776
2023-10-13,112688.39400000001
2023-10-12,111449.728
2023-10-11,115411.61519999999
2023-10-10,116479.11810000002
2023-10-09,114619.4775
2023-10-06,110776.85519999999
2023-10-05,114222.8475
2023-10-04,121794.511
2023-10-03,120337.60380000001
2023-10-02,122847.673
2023-09-29,123927.38560000001
2023-09-28,127115.97660000001
2023-09-27,122586.673
2023-09-26,120411.3372
2023-09-25,120934.95799999998
2023-09-22,120052.2634
2023-09-21,119076.192
2023-09-20,121669.0345
2023-09-19,122103.89099999999
2023-09-18,121243.104
2023-09-15,120592.9134
2023-09-14,117957.44200000001
2023-09-13,117746.40000000001
2023-09-12,115724.3835
2023-09-11,116796.116
2023-09-08,115832.2084
2023-09-07,116824.7562
2023-09-06,115333.264
2023-09-05,113462.36460000002
2023-09-04,113188.9325
2023-09-03,114069.0876
2023-09-01,110708.55769999999
2023-08-31,107729.62
2023-08-30,107645.03090000001
2023-08-29,105939.1086
2023-08-28,106466.451
2023-08-25,104746.3296
2023-08-24,105347.44169999998
2023-08-23,106720.7856
2023-08-22,108285.736
2023-08-21,109096.65680000001
2023-08-18,107408.8776
2023-08-17,105946.9475
2023-08-16,108680.8662
2023-08-15,109801.112
2023-08-14,109524.2526
2023-08-11,108764.07299999999
2023-08-10,110958.935
2023-08-09,108401.2384
2023-08-08,107643.0537
2023-08-07,107660.20259999999
2023-08-04,106205.68310000001
2023-08-03,102855.43800000001
2023-08-02,104882.874
2023-08-01,104069.2609
2023-07-31,103568.3105
2023-07-28,101510.17280000001
2023-07-27,100722.162
2023-07-26,101625.01920000001
2023-07-25,101452.3525
2023-07-24,98351.78130000002
2023-07-21,95983.058
2023-07-20,95341.10849999999
2023-07-19,95840.5248
2023-07-18,94158.1576
2023-07-17,95062.3432
2023-07-14,98363.568
2023-07-13,97988.33949999999
2023-07-12,97264.034
2023-07-11,95081.12899999999
2023-07-10,96716.7156
2023-07-07,93744.56
2023-07-06,92967.358
2023-07-05,91521.89900000002
2023-07-04,92293.2576
2023-07-03,93218.031
2023-06-30,91416.02419999999
2023-06-29,89988.99
2023-06-28,88781.61420000001
2023-06-27,90944.34259999999
2023-06-26,90693.5256
2023-06-23,89606.0922
2023-06-22,93343.4382
2023-06-21,90983.134
2023-06-20,91258.79800000001
2023-06-19,90795.48800000001
2023-06-18,91233.5801
2023-06-16,89458.811
2023-06-15,88269.882
2023-06-14,89301.3015
2023-06-13,87273.4729
2023-06-12,91959.5382
2023-06-09,92194.33339999999
2023-06-08,94289.26759999999
2023-06-07,93461.6536
2023-06-06,94535.8282
2023-06-05,99214.4199
2023-06-02,92688.4336
2023-06-01,89567.296
2023-05-31,92137.19660000001
2023-05-30,97483.77600000001
2023-05-29,96560.3394
2023-05-28,96524.2086
2023-05-26,94475.68130000001
2023-05-25,98343.8341
2023-05-24,98408.4423
2023-05-23,96232.591
2023-05-22,96277.326
2023-05-19,96096.73259999999
2023-05-18,97665.42
2023-05-17,93978.484
2023-05-16,94014.73719999999
2023-05-15,92896.1532
2023-05-12,94467.9482
2023-05-11,95907.9492
2023-05-10,97366.20659999999
2023-05-09,97271.26440000001
2023-05-08,95797.364
2023-05-05,92268.909
2023-05-04,91209.6672
2023-05-03,95859.6292
2023-05-02,101400.21440000001
2023-05-01,102824.82459999999
2023-04-28,99850.5354
2023-04-27,98953.66440000001
2023-04-26,102057.00319999999
2023-04-25,104735.2236
2023-04-24,102885.31349999999
2023-04-21,101773.8063
2023-04-20,102876.45060000001
2023-04-19,105352.9848
2023-04-18,107168.67
2023-04-17,109075.676
2023-04-14,108849.57600000002
2023-04-13,109549.9758
2023-04-12,107418.5456
2023-04-11,105230.71679999998
2023-04-10,105498.47
2023-04-06,105185.0412
2023-04-05,105837.13470000001
2023-04-04,104328.2668
2023-04-03,104701.113
2023-03-31,96492.10020000002
2023-03-30,94753.583
2023-03-29,95342.6164
2023-03-28,93746.77620000001
2023-03-27,90078.0036
2023-03-24,90628.5282
2023-03-23,91205.7065
2023-03-22,90956.268
2023-03-21,88030.4208
2023-03-20,87497.37560000001
2023-03-17,89075.20440000002
2023-03-16,88477.24680000001
2023-03-15,94394.796
2023-03-14,99038.754
2023-03-13,100864.582
2023-03-10,99730.1515
2023-03-09,99285.525
2023-03-08,100059.81199999999
2023-03-07,105566.895
2023-03-06,104361.93359999999
2023-03-03,103082.74160000001
2023-03-02,102492.416
2023-03-01,101023.1675
2023-02-28,98338.7528
2023-02-27,99579.081
2023-02-24,98745.696
2023-02-23,95831.36640000001
2023-02-22,98756.5305
2023-02-21,98719.1082
2023-02-20,98467.6593
2023-02-19,97594.92709999999
2023-02-17,99407.31169999999
2023-02-16,99451.27500000001
2023-02-15,99709.7021
2023-02-14,99684.3822
2023-02-13,100389.45139999999
2023-02-10,97990.98960000002
2023-02-09,97854.6075
2023-02-08,94939.9731
2023-02-07,91143.9282
2023-02-06,90345.3156
2023-02-03,93524.32960000001
2023-02-02,94467.058
2023-02-01,97422.4756
2023-01-31,96060.6927
2023-01-30,98687.7192
2023-01-27,99931.4636
2023-01-26,99018.568
2023-01-25,98930.88380000001
2023-01-24,101054.5382
2023-01-23,101203.6744
2023-01-20,100103.58799999999
2023-01-19,97904.094
2023-01-18,100363.1247
2023-01-17,99517.041
2023-01-16,99024.5316
2023-01-15,99385.9473
2023-01-13,98252.43999999999
2023-01-12,99034.866
2023-01-11,95074.5442
2023-01-10,95790.1074
2023-01-09,93301.7571
2023-01-06,93346.4415
2023-01-05,92385.83
2023-01-04,98471.3475
2023-01-03,102505.1825
2023-01-02,102719.4987
2022-12-30,100758.654
2022-12-29,101830.7108
2022-12-28,102288.75929999999
2022-12-27,102596.394
2022-12-26,104027.86800000002
2022-12-23,102536.979
2022-12-22,103489.16930000001
2022-12-21,98476.2009
2022-12-20,97620.449
2022-12-19,97376.715
2022-12-16,99582.66150000002
2022-12-15,101882.3634
2022-12-14,98962.7379
2022-12-13,96752.32770000002
2022-12-12,93738.3567
2022-12-09,93345.3645
2022-12-08,94424.05279999999
2022-12-07,97043.226
2022-12-06,102540.5745
2022-12-05,107308.98469999999
2022-12-02,108839.8465
2022-12-01,106773.61200000001
2022-11-30,105630.11
2022-11-29,103559.38540000001
2022-11-28,103235.1873
2022-11-25,103983.5405
2022-11-24,104122.0147
2022-11-23,108403.95999999999
2022-11-22,105614.4432
2022-11-21,106338.881
2022-11-18,108317.755
2022-11-17,115058.9308
2022-11-16,119152.257
2022-11-15,117222.16
2022-11-14,124043.1386
2022-11-11,121795.98599999999
2022-11-10,122255.55099999999
2022-11-09,126207.82149999999
2022-11-08,130187.1396
2022-11-07,129859.73
2022-11-04,124998.195
2022-11-03,127026.2145
2022-11-02,125206.76699999999
2022-11-01,123358.08180000001
2022-10-31,127718.2466
2022-10-28,126891.2035
2022-10-27,126262.9908
2022-10-26,122089.91189999999
2022-10-25,120982.01039999998
2022-10-24,122037.2556
2022-10-21,122709.2215
2022-10-20,122945.764
2022-10-19,119249.88100000001
2022-10-18,122706.117
2022-10-17,122305.5423
2022-10-14,126937.4765
2022-10-13,122662.62959999999
2022-10-12,125649.8235
2022-10-11,129085.2276
2022-10-10,133916.6436
2022-10-07,128079.6539
2022-10-06,125991.39360000001
2022-10-05,123008.15400000001
2022-10-04,118727.4774
2022-10-03,115908.02219999999
2022-09-30,116177.06199999999
2022-09-29,115239.033
2022-09-28,109133.9776
2022-09-27,106515.82770000001
2022-09-26,110155.8459
2022-09-23,115782.263
2022-09-22,116106.939
2022-09-21,117228.82
2022-09-20,119200.79569999999
2022-09-19,117185.05249999999
2022-09-16,117525.90959999998
2022-09-15,123129.6808
2022-09-14,120951.7966
2022-09-13,121433.82680000001
2022-09-12,118208.2125
2022-09-09,112912.704
2022-09-08,111134.66889999999
2022-09-07,116639.1968
2022-09-06,117281.762
2022-09-05,118809.6546
2022-09-04,116648.8638
2022-09-02,115554.1376
2022-09-01,119117.4768
2022-08-31,123652.9374
2022-08-30,130207.437
2022-08-29,124174.10879999999
2022-08-26,123512.02380000001
2022-08-25,125409.0875
2022-08-24,122983.092
2022-08-23,118941.9525
2022-08-22,116754.781
2022-08-19,118144.24949999999
2022-08-18,113392.0206
2022-08-17,113884.99199999998
2022-08-16,114318.6723
2022-08-15,119862.178
2022-08-12,122581.3929
2022-08-11,119768.4565
2022-08-10,119047.803
2022-08-09,118598.9406
2022-08-08,115289.03339999999
2022-08-05,114131.9242
2022-08-04,118814.35149999999
2022-08-03,123013.9449
2022-08-02,122950.3125
2022-08-01,129041.67599999998
2022-07-29,127138.01800000001
