날짜,시가
2000-08-01,30.86826086956522
2000-09-01,33.8465
2000-10-01,32.805454545454545
2000-11-01,34.164
2000-12-01,28.613999999999997
2001-01-01,29.093333333333334
2001-02-01,29.709473684210526
2001-03-01,27.335
2001-04-01,27.548000000000002
2001-05-01,28.720000000000002
2001-06-01,27.693809523809527
2001-07-01,26.504761904761907
2001-08-01,27.215652173913046
2001-09-01,26.295625
2001-10-01,22.331739130434784
2001-11-01,19.813499999999998
2001-12-01,19.36
2002-01-01,19.793809523809525
2002-02-01,20.612105263157893
2002-03-01,24.2435
2002-04-01,26.240454545454543
2002-05-01,26.96772727272727
2002-06-01,25.4725
2002-07-01,26.934285714285714
2002-08-01,28.03909090909091
2002-09-01,29.6245
2002-10-01,29.003478260869567
2002-11-01,26.141052631578948
2002-12-01,29.206666666666667
2003-01-01,32.52619047619047
2003-02-01,35.415263157894735
2003-03-01,33.48238095238095
2003-04-01,28.232857142857142
2003-05-01,27.833333333333332
2003-06-01,30.4
2003-07-01,30.621363636363636
2003-08-01,31.564285714285717
2003-09-01,28.43
2003-10-01,30.35565217391304
2003-11-01,30.923333333333332
2003-12-01,31.980476190476192
2004-01-01,34.11578947368421
2004-02-01,34.25315789473684
2004-03-01,36.737826086956524
2004-04-01,36.49714285714286
2004-05-01,40.138
2004-06-01,38.18190476190476
2004-07-01,40.46
2004-08-01,44.90590909090909
2004-09-01,45.54571428571429
2004-10-01,52.924285714285716
2004-11-01,48.5955
2004-12-01,43.52333333333333
2005-01-01,46.631
2005-02-01,47.88263157894737
2005-03-01,54.45681818181818
2005-04-01,53.50523809523809
2005-05-01,49.82
2005-06-01,56.21136363636364
2005-07-01,58.910000000000004
2005-08-01,64.77565217391304
2005-09-01,65.59428571428572
2005-10-01,62.49047619047619
2005-11-01,58.477999999999994
2005-12-01,59.29666666666667
2006-01-01,65.2465
2006-02-01,62.417368421052636
2006-03-01,62.82565217391304
2006-04-01,69.92842105263158
2006-05-01,70.97500000000001
2006-06-01,70.86
2006-07-01,74.478
2006-08-01,73.27869565217392
2006-09-01,64.309
2006-10-01,59.5140909090909
2006-11-01,59.37
2006-12-01,62.224000000000004
2007-01-01,54.87428571428571
2007-02-01,59.14000000000001
2007-03-01,60.77409090909091
2007-04-01,64.0615
2007-05-01,63.63818181818181
2007-06-01,67.17809523809524
2007-07-01,73.80333333333333
2007-08-01,72.56304347826087
2007-09-01,79.14999999999999
2007-10-01,85.03086956521739
2007-11-01,94.89761904761905
2007-12-01,91.437
2008-01-01,93.16238095238096
2008-02-01,94.729
2008-03-01,105.2665
2008-04-01,111.87136363636364
2008-05-01,124.84761904761906
2008-06-01,133.4009523809524
2008-07-01,134.28272727272727
2008-08-01,117.2495238095238
2008-09-01,103.9904761904762
2008-10-01,78.56739130434782
2008-11-01,58.05105263157895
2008-12-01,43.08954545454546
2009-01-01,42.2055
2009-02-01,39.13157894736842
2009-03-01,47.84136363636364
2009-04-01,49.836666666666666
2009-05-01,58.3845
2009-06-01,69.50045454545455
2009-07-01,64.30409090909092
2009-08-01,71.08095238095238
2009-09-01,69.38666666666667
2009-10-01,75.53636363636363
2009-11-01,78.1865
2009-12-01,74.52045454545454
2010-01-01,78.65052631578946
2010-02-01,76.17894736842106
2010-03-01,81.17521739130434
2010-04-01,84.46190476190476
2010-05-01,74.90299999999999
2010-06-01,75.23
2010-07-01,76.2252380952381
2010-08-01,76.94045454545454
2010-09-01,75.14380952380952
2010-10-01,81.94095238095238
2010-11-01,84.27666666666667
2010-12-01,88.83863636363637
2011-01-01,89.611
2011-02-01,89.75052631578947
2011-03-01,102.63999999999999
2011-04-01,109.6615
2011-05-01,101.83714285714285
2011-06-01,96.71909090909092
2011-07-01,97.309
2011-08-01,86.63173913043478
2011-09-01,86.0247619047619
2011-10-01,85.86714285714285
2011-11-01,96.75380952380952
2011-12-01,98.70333333333333
2012-01-01,100.5265
2012-02-01,101.9645
2012-03-01,106.47318181818181
2012-04-01,103.276
2012-05-01,95.44954545454544
2012-06-01,82.53285714285714
2012-07-01,87.71095238095238
2012-08-01,93.80826086956522
2012-09-01,94.82263157894738
2012-10-01,89.78608695652174
2012-11-01,86.62190476190476
2012-12-01,88.1285
2013-01-01,94.58333333333333
2013-02-01,95.61105263157894
2013-03-01,92.6815
2013-04-01,92.1990909090909
2013-05-01,94.70260869565217
2013-06-01,95.5115
2013-07-01,104.24869565217391
2013-08-01,106.44272727272728
2013-09-01,106.36904761904762
2013-10-01,100.66826086956522
2013-11-01,93.98761904761905
2013-12-01,97.64095238095238
2014-01-01,95.1017391304348
2014-02-01,100.5045
2014-03-01,100.52714285714286
2014-04-01,102.03333333333333
2014-05-01,101.81363636363636
2014-06-01,105.05761904761906
2014-07-01,102.6204347826087
2014-08-01,95.99714285714286
2014-09-01,93.31454545454545
2014-10-01,84.70565217391304
2014-11-01,76.331
2014-12-01,59.684347826086956
2015-01-01,47.96347826086957
2015-02-01,50.9352380952381
2015-03-01,47.948181818181816
2015-04-01,53.847727272727276
2015-05-01,59.51181818181818
2015-06-01,59.82636363636364
2015-07-01,51.673478260869565
2015-08-01,42.7747619047619
2015-09-01,45.589999999999996
2015-10-01,46.35363636363636
2015-11-01,43.27333333333333
2015-12-01,37.599090909090904
2016-01-01,31.85238095238095
2016-02-01,30.638181818181817
2016-03-01,37.82818181818182
2016-04-01,40.773809523809526
2016-05-01,46.9804347826087
2016-06-01,48.88318181818182
2016-07-01,45.52727272727273
2016-08-01,44.63260869565217
2016-09-01,45.03695652173913
2016-10-01,49.95761904761904
