태풍명,영문명,영향도,활동년도,활동시기
누리,NURI,0,2008,8
실라코,SINLAKU,0,2008,9
하구핏,HAGUPIT,0,2008,9
메칼라,MEKKHALA,0,2008,9
장미,JANGMI,0,2008,9
히고스,HIGOS,0,2008,9
바비,BAVI,0,2008,10
마이삭,MAYSAK,0,2008,11
하이선,HAISHEN,0,2008,11
노을,NOUL,0,2008,11
돌핀,DOLPHIN,0,2008,12
구지라,KUJIRA,0,2009,5
찬홈,CHAN-HOM,0,2009,5
린파,LINFA,0,2009,6
낭카,NANGKA,0,2009,6
사우델로르,SOUDELOR,0,2009,7
몰라베,MOLAVE,0,2009,7
고니,GONI,0,2009,8
모라꼿,MORAKOT,0,2009,8
아타우,ETAU,0,2009,8
밤꼬,VAMCO,0,2009,8
크로반,KROVANH,0,2009,8
두쥐안,DUJUAN,0,2009,9
무지개,MUJIGAE,0,2009,9
초이완,CHOI-WAN,0,2009,9
곳푸,KOPPU,0,2009,9
켓사나,KETSANA,0,2009,9
파마,PARMA,0,2009,9
멜로르,MELOR,0,2009,9
네파탁,NEPARTAK,0,2009,10
루핏,LUPIT,0,2009,10
미리내,MIRINAE,0,2009,10
니다,NIDA,0,2009,11
오마이스,OMAIS,0,2010,3
꼰선,CONSON,0,2010,7
찬투,CHANTHU,0,2010,7
뎬무,DIANMU,1,2010,8
곤파스,KOMPASU,1,2010,8
민들레,MINDULLE,0,2010,8
라이언록,LIONROCK,0,2010,8
남테운,NAMTHEUN,0,2010,8
말로,MALOU,2,2010,9
므란티,MERANTI,0,2010,9
파나피,FANAPI,0,2010,9
말라카스,MALAKAS,0,2010,9
메기,MEGI,0,2010,10
차바,CHABA,0,2010,10
에어리,AERE,0,2011,5
송다,SONGDA,0,2011,5
사리카,SARIKA,0,2011,6
하이마,HAIMA,0,2011,6
메아리,MEARI,2,2011,6
망온,MA-ON,0,2011,7
도카게,TOKAGE,0,2011,7
녹텐,NOCK-TEN,0,2011,7
무이파,MUIFA,2,2011,7
탈라스,TALAS,2,2011,8
므르복,MERBOK,0,2011,8
난마돌,NANMADOL,0,2011,8
노루,NORU,0,2011,9
꿀랍,KULAP,0,2011,9
로키,ROKE,0,2011,9
선까,SONCA,0,2011,9
하이탕,HAITANG,0,2011,9
네삿,NESAT,0,2011,9
날개,NALGAE,0,2011,9
바냔,BANYAN,0,2011,10
와시,WASHI,0,2011,12
파카르,PAKHAR,0,2012,3
상우,SANVU,0,2012,5
마와르,MAWAR,0,2012,6
구촐,GUCHOL,0,2012,6
탈림,TALIM,0,2012,6
독수리,DOKSURI,0,2012,6
비센티,VICENTE,0,2012,7
카눈,KHANUN,1,2012,7
사올라,SAOLA,0,2012,7
담레이,DAMREY,2,2012,7
하이쿠이,HAIKUI,0,2012,8
기러기,KIROGI,0,2012,8
카이탁,KAI-TAK,0,2012,8
덴빈,TEMBIN,1,2012,8
볼라벤,BOLAVEN,2,2012,8
산바,SANBA,1,2012,9
에위니아,EWINIAR,0,2012,9
즐라왓,JELAWAT,0,2012,9
말릭시,MALIKSI,0,2012,10
개미,GAEMI,0,2012,10
쁘라삐룬,PRAPIROON,0,2012,10
마리아,MARIA,0,2012,10
손띤,SON-TINH,0,2012,10
보파,BOPHA,0,2012,11
우쿵,WUKONG,0,2012,12
소나무,SONAMU,0,2013,1
산산,SHANSHAN,0,2013,2
야기,YAGI,0,2013,6
버빙카,BEBINCA,0,2013,6
룸비아,RUMBIA,0,2013,6
리피,LEEPI,2,2013,6
솔릭,SOULIK,0,2013,7
시마론,CIMARON,0,2013,7
제비,JEBI,0,2013,7
망쿳,MANGKHUT,0,2013,8
우토르,UTOR,0,2013,8
짜미,TRAMI,0,2013,8
페바,PEWA,0,2013,8
우나라,UNALA,0,2013,8
콩레이,KONG-REY,2,2013,8
위투,YUTU,0,2013,9
도라지,TORAJI,0,2013,9
마니,MAN-YI,0,2013,9
우사기,USAGI,0,2013,9
파북,PABUK,0,2013,9
우딥,WUTIP,0,2013,9
스팟,SEPAT,0,2013,9
피토,FITOW,0,2013,9
다나스,DANAS,2,2013,10
나리,NARI,0,2013,10
위파,WIPHA,0,2013,10
프란시스코,FRANCISCO,0,2013,10
레끼마,LEKIMA,0,2013,10
크로사,KROSA,0,2013,10
하이옌,HAIYAN,0,2013,11
버들,PODUL,0,2013,11
링링,LINGLING,0,2014,1
가지키,KAJIKI,0,2014,1
파사이,FAXAI,0,2014,2
페이파,PEIPAH,0,2014,4
타파,TAPAH,0,2014,4
미탁,MITAG,0,2014,6
하기비스,HAGIBIS,0,2014,6
람마순,RAMMASUN,0,2014,7
마트모,MATMO,0,2014,7
너구리,NEOGURI,2,2014,7
할롱,HALONG,2,2014,7
나크리,NAKRI,2,2014,7
제너비브,GENEVIEVE,0,2014,8
펑선,FENGSHEN,0,2014,9
갈매기,KALMAEGI,0,2014,9
풍웡,FUNG-WONG,0,2014,9
간무리,KAMMURI,0,2014,9
판폰,PHANFONE,0,2014,9
봉퐁,VONGFONG,2,2014,10
누리,NURI,0,2014,10
실라코,SINLAKU,0,2014,11
하구핏,HAGUPIT,0,2014,12
장미,JANGMI,0,2014,12
메칼라,MEKKHALA,0,2015,1
히고스,HIGOS,0,2015,2
바비,BAVI,0,2015,3
마이삭,MAYSAK,0,2015,3
하이선,HAISHEN,0,2015,4
노을,NOUL,0,2015,5
