"시도별",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"시도별",사과:생산량 (톤),사과:생산량 (톤),사과:생산량 (톤),사과:생산량 (톤),사과:생산량 (톤),사과:생산량 (톤),사과:생산량 (톤),사과:생산량 (톤),사과:생산량 (톤),사과:생산량 (톤),사과:생산량 (톤),사과:생산량 (톤),사과:생산량 (톤),사과:생산량 (톤),사과:생산량 (톤),사과:생산량 (톤),사과:생산량 (톤),사과:생산량 (톤),사과:생산량 (톤),사과:생산량 (톤),사과:생산량 (톤),사과:생산량 (톤),사과:생산량 (톤),사과:생산량 (톤)
"계",488960,403583,433165,365354,357180,367517,407621,435686,470865,494491,460285,379541,394596,493701,474712,582846,576369,545349,475303,535324,422115,515931,566041,394428
